800 160000
0 1 189
0 6 125
0 7 170
0 13 158
0 20 91
0 25 44
0 28 83
0 33 195
0 36 79
0 42 61
0 43 127
0 49 40
0 55 109
0 58 87
0 62 91
0 67 110
0 68 15
0 77 133
0 79 117
0 92 8
0 94 152
0 96 157
0 108 55
0 110 62
0 112 136
0 114 187
0 118 191
0 120 108
0 126 76
0 133 152
0 135 199
0 139 10
0 140 198
0 153 116
0 165 190
0 166 145
0 171 70
0 175 79
0 187 121
0 191 28
0 194 112
0 206 17
0 209 122
0 217 127
0 218 9
0 222 93
0 223 41
0 224 195
0 232 32
0 256 70
0 257 198
0 261 121
0 263 79
0 265 187
0 267 53
0 269 83
0 276 185
0 277 136
0 278 59
0 284 109
0 286 43
0 287 189
0 289 186
0 296 173
0 297 184
0 327 75
0 329 108
0 331 14
0 334 75
0 336 12
0 344 163
0 345 60
0 359 61
0 360 162
0 365 106
0 367 103
0 368 179
0 369 152
0 374 158
0 378 71
0 380 66
0 388 196
0 401 198
0 409 85
0 417 136
0 418 71
0 421 95
0 422 154
0 428 86
0 435 55
0 442 146
0 448 188
0 455 43
0 456 16
0 460 22
0 464 158
0 465 198
0 473 173
0 477 73
0 490 183
0 501 54
0 510 11
0 511 197
0 514 187
0 520 160
0 522 9
0 528 73
0 530 158
0 539 42
0 546 35
0 547 138
0 550 67
0 551 115
0 553 105
0 557 13
0 559 3
0 562 30
0 563 88
0 565 94
0 566 46
0 570 124
0 571 124
0 574 104
0 577 122
0 578 133
0 580 120
0 582 106
0 583 98
0 586 135
0 587 89
0 591 126
0 594 40
0 595 145
0 598 35
0 603 175
0 605 52
0 612 62
0 624 90
0 627 196
0 630 25
0 633 166
0 635 118
0 637 98
0 650 113
0 660 58
0 661 109
0 665 108
0 671 139
0 678 69
0 688 104
0 690 52
0 692 161
0 694 176
0 697 153
0 699 190
0 710 13
0 715 129
0 720 138
0 726 21
0 727 122
0 728 115
0 734 112
0 737 123
0 738 96
0 745 111
0 752 130
0 756 12
0 760 79
0 769 187
0 785 49
0 786 146
0 794 19
0 795 163
1 0 143
1 4 93
1 5 94
1 7 84
1 10 111
1 22 57
1 24 120
1 28 129
1 31 125
1 33 152
1 43 163
1 51 33
1 53 92
1 59 179
1 67 52
1 72 144
1 75 54
1 76 139
1 77 34
1 80 148
1 81 43
1 84 144
1 89 110
1 91 37
1 92 107
1 107 157
1 109 53
1 116 152
1 120 180
1 125 119
1 127 36
1 132 43
1 137 101
1 139 128
1 141 63
1 142 177
1 144 179
1 146 84
1 147 122
1 155 49
1 161 154
1 162 72
1 170 135
1 171 71
1 179 200
1 180 129
1 185 200
1 186 104
1 190 184
1 192 85
1 195 54
1 201 69
1 204 116
1 214 40
1 218 42
1 226 129
1 227 97
1 229 180
1 233 4
1 234 113
1 235 86
1 237 107
1 242 33
1 244 56
1 246 155
1 247 27
1 252 142
1 255 196
1 260 56
1 263 148
1 264 19
1 267 175
1 273 37
1 274 43
1 278 71
1 283 185
1 284 126
1 285 12
1 287 52
1 293 91
1 296 59
1 304 3
1 309 47
1 311 91
1 316 129
1 317 22
1 319 154
1 322 23
1 323 65
1 335 66
1 339 59
1 343 35
1 345 111
1 349 139
1 358 23
1 362 88
1 365 149
1 366 72
1 368 118
1 372 14
1 374 92
1 383 142
1 388 178
1 391 167
1 392 25
1 396 77
1 398 136
1 401 94
1 404 186
1 411 109
1 412 53
1 414 152
1 419 182
1 428 116
1 433 98
1 435 163
1 436 81
1 440 45
1 441 90
1 443 49
1 445 10
1 449 64
1 451 60
1 454 27
1 456 131
1 460 37
1 461 90
1 463 88
1 466 128
1 470 104
1 471 140
1 473 198
1 476 112
1 478 144
1 480 138
1 486 156
1 491 1
1 494 21
1 495 88
1 497 40
1 507 153
1 525 89
1 527 67
1 528 41
1 530 115
1 532 40
1 535 89
1 543 132
1 544 109
1 546 106
1 556 87
1 561 91
1 563 137
1 566 103
1 567 92
1 568 45
1 572 172
1 578 171
1 581 38
1 585 197
1 589 34
1 592 177
1 593 75
1 594 52
1 598 73
1 600 88
1 601 17
1 603 137
1 605 136
1 606 182
1 607 139
1 611 159
1 612 187
1 614 83
1 617 112
1 632 100
1 633 153
1 640 109
1 642 143
1 645 4
1 649 177
1 654 34
1 657 51
1 659 170
1 660 190
1 665 89
1 667 74
1 672 39
1 675 99
1 676 51
1 678 91
1 679 49
1 681 50
1 686 67
1 691 114
1 693 188
1 698 48
1 701 46
1 705 175
1 706 18
1 707 41
1 713 120
1 717 63
1 720 21
1 726 132
1 735 132
1 740 117
1 748 94
1 750 198
1 753 51
1 755 102
1 756 18
1 767 54
1 775 54
1 779 154
1 791 168
1 792 4
1 794 23
1 795 11
1 798 41
2 1 124
2 3 107
2 6 152
2 10 99
2 12 30
2 18 60
2 20 84
2 27 82
2 29 80
2 31 26
2 33 50
2 35 87
2 36 20
2 37 99
2 42 12
2 50 26
2 51 172
2 62 41
2 66 53
2 72 65
2 73 170
2 79 92
2 85 31
2 86 136
2 87 5
2 89 29
2 90 109
2 92 179
2 95 40
2 97 69
2 105 35
2 109 25
2 110 34
2 113 24
2 116 107
2 117 1
2 120 3
2 127 98
2 128 185
2 131 96
2 133 48
2 146 160
2 147 47
2 155 140
2 174 8
2 175 55
2 183 32
2 186 154
2 189 35
2 192 71
2 197 107
2 198 194
2 199 191
2 206 111
2 210 107
2 211 80
2 212 115
2 224 79
2 230 122
2 233 195
2 236 124
2 239 75
2 240 114
2 241 7
2 242 197
2 245 33
2 248 54
2 249 66
2 258 23
2 259 71
2 273 22
2 276 181
2 277 156
2 278 139
2 281 190
2 283 168
2 291 31
2 295 157
2 298 105
2 301 72
2 304 70
2 309 170
2 313 12
2 319 109
2 322 58
2 323 61
2 328 127
2 333 27
2 340 169
2 344 48
2 347 47
2 354 59
2 356 63
2 357 156
2 360 118
2 361 55
2 362 21
2 367 45
2 376 55
2 380 63
2 381 45
2 382 159
2 387 88
2 392 98
2 393 39
2 395 130
2 398 134
2 403 199
2 414 9
2 415 192
2 418 107
2 419 89
2 425 40
2 431 131
2 440 98
2 445 90
2 447 174
2 451 111
2 452 179
2 461 50
2 462 138
2 463 61
2 466 195
2 468 53
2 470 36
2 476 45
2 483 64
2 485 97
2 487 130
2 492 55
2 493 31
2 498 55
2 503 185
2 504 115
2 510 76
2 517 78
2 521 81
2 542 168
