400 60000
0 0 196
0 1 198
0 7 132
0 8 1
0 9 161
0 11 150
0 14 34
0 17 78
0 18 71
0 19 71
0 22 154
0 24 20
0 26 175
0 27 95
0 28 86
0 33 195
0 36 151
0 37 27
0 43 170
0 49 40
0 50 27
0 52 53
0 55 156
0 60 22
0 62 99
0 63 71
0 64 158
0 65 105
0 66 85
0 68 66
0 70 84
0 71 140
0 72 99
0 73 146
0 79 170
0 81 182
0 84 16
0 87 4
0 89 136
0 93 133
0 96 9
0 97 190
0 98 67
0 99 106
0 105 197
0 108 124
0 109 44
0 110 11
0 111 196
0 113 53
0 114 187
0 118 194
0 122 62
0 124 81
0 126 76
0 127 158
0 129 153
0 134 69
0 143 183
0 147 197
0 151 26
0 153 118
0 156 20
0 166 46
0 167 59
0 171 124
0 172 115
0 175 79
0 176 67
0 178 113
0 180 68
0 183 98
0 184 31
0 186 134
0 187 143
0 188 15
0 190 54
0 194 139
0 199 80
0 203 73
0 208 25
0 209 139
0 210 120
0 211 81
0 212 62
0 218 177
0 219 52
0 220 49
0 223 41
0 224 7
0 228 95
0 230 179
0 232 32
0 243 36
0 245 116
0 247 67
0 252 62
0 253 54
0 255 177
0 256 70
0 264 146
0 265 187
0 266 7
0 272 50
0 274 148
0 275 3
0 278 134
0 280 55
0 282 13
0 283 74
0 284 142
0 286 144
0 287 97
0 288 98
0 290 75
0 291 83
0 292 160
0 300 135
0 306 4
0 309 93
0 310 13
0 311 12
0 319 152
0 325 109
0 326 175
0 329 81
0 331 57
0 338 174
0 340 197
0 341 17
0 346 79
0 347 114
0 348 137
0 351 45
0 360 192
0 362 78
0 363 159
0 364 37
0 366 71
0 367 23
0 369 187
0 370 8
0 374 180
0 377 108
0 380 136
0 381 19
0 382 124
0 383 15
0 390 171
0 391 134
0 392 57
0 394 196
0 395 7
0 397 170
0 399 122
1 0 143
1 1 53
1 4 164
1 5 120
1 8 106
1 11 109
1 22 12
1 23 47
1 24 164
1 28 32
1 32 118
1 34 173
1 35 131
1 38 4
1 43 115
1 44 130
1 51 50
1 53 76
1 58 168
1 59 179
1 60 37
1 63 183
1 64 164
1 66 192
1 68 112
1 70 103
1 71 140
1 72 31
1 74 82
1 76 3
1 77 34
1 78 194
1 79 143
1 84 200
1 85 73
1 87 75
1 88 117
1 89 17
1 91 1
1 93 144
1 99 40
1 100 16
1 102 34
1 107 59
1 109 158
1 119 165
1 120 164
1 121 150
1 130 64
1 132 22
1 136 159
1 138 181
1 141 125
1 143 194
1 144 81
1 146 106
1 147 51
1 150 193
1 153 196
1 156 87
1 158 115
1 161 154
1 163 112
1 164 53
1 165 147
1 168 1
1 169 18
1 178 110
1 185 200
1 189 69
1 190 69
1 192 42
1 194 52
1 195 54
1 196 49
1 197 181
1 199 83
1 201 69
1 203 137
1 204 113
1 205 70
1 208 175
1 209 71
1 214 21
1 224 14
1 227 97
1 230 155
1 231 140
1 236 121
1 241 7
1 243 182
1 244 56
1 250 144
1 252 142
1 256 160
1 257 51
1 258 174
1 260 155
1 262 178
1 266 195
1 267 43
1 271 194
1 273 113
1 276 124
1 277 24
1 278 175
1 282 103
1 284 126
1 288 69
1 290 185
1 293 137
1 294 160
1 299 164
1 300 51
1 301 200
1 305 175
1 307 41
1 310 109
1 311 22
1 317 63
1 318 25
1 319 124
1 321 154
1 322 23
1 323 63
1 324 116
1 325 54
1 326 127
1 331 43
1 332 83
1 339 59
1 343 113
1 344 104
1 349 95
1 354 35
1 356 43
1 360 87
1 361 184
1 365 107
1 367 54
1 370 126
1 374 200
1 375 144
1 379 5
1 381 92
1 387 157
1 391 2
1 394 55
1 395 11
1 398 70
2 0 119
2 1 124
2 6 152
2 12 70
2 14 162
2 16 195
2 18 99
2 19 89
2 21 153
2 23 136
2 25 40
2 28 120
2 29 20
2 31 177
2 35 87
2 40 198
2 42 9
2 45 20
2 46 160
2 47 174
2 49 124
2 52 73
2 54 119
2 59 36
2 60 105
2 62 138
2 65 54
2 67 82
2 68 13
2 78 112
2 82 89
2 90 148
2 96 185
2 100 118
2 102 199
2 103 13
2 104 75
2 105 99
2 107 116
2 108 87
2 110 134
2 111 139
2 112 111
2 115 85
2 116 52
2 117 94
2 121 140
2 123 178
2 125 150
2 126 4
2 128 185
2 132 118
2 133 7
2 134 195
2 136 98
2 137 53
2 138 74
2 141 176
2 150 76
2 152 128
2 155 146
2 156 21
2 157 121
2 161 55
2 163 25
2 166 169
2 173 165
2 178 200
2 180 118
2 183 46
2 185 63
2 190 78
2 194 123
2 196 5
2 199 62
2 201 184
2 202 61
2 207 98
2 209 157
2 211 80
2 222 167
2 224 122
2 228 58
2 230 182
2 235 184
2 236 151
2 238 114
2 240 114
2 241 126
2 242 197
2 244 161
2 246 100
2 247 102
2 248 118
2 255 88
2 258 168
2 264 141
2 267 198
2 273 22
2 274 27
2 275 8
2 276 181
2 277 182
2 283 174
2 287 113
2 289 163
2 294 95
2 299 192
2 302 59
2 307 180
2 309 95
2 311 191
2 313 78
2 316 43
2 317 115
2 320 168
2 321 73
2 324 171
2 330 31
2 331 127
2 342 4
2 348 99
2 352 57
2 353 188
2 357 2
2 360 158
2 363 181
2 364 195
2 365 75
2 371 84
2 373 120
2 376 165
2 378 189
2 381 97
2 382 147
2 386 81
2 387 72
2 388 138
2 390 186
2 393 39
2 394 37
2 398 115
3 0 40
3 2 89
3 10 146
3 11 97
3 18 183
3 23 137
3 24 19
3 27 180
3 31 123
3 33 183
3 35 158
3 38 6
3 39 31
3 41 30
3 44 36
3 46 142
3 48 180
3 50 25
3 55 138
3 56 81
3 62 97
3 67 75
3 68 181
3 69 183
3 70 140
3 74 126
3 76 50
3 78 88
3 80 113
3 82 79
3 83 44
3 86 118
3 89 81
3 90 112
3 91 12
3 93 200
3 96 186
3 99 189
3 100 64
3 102 72
3 103 79
3 105 170
3 112 78
3 113 48
3 115 95
3 117 142
3 121 166
3 126 141
3 127 39
3 128 92
3 139 13
3 140 94
3 143 82
3 146 76
3 147 22
3 153 197
3 160 34
3 163 135
3 164 85
3 169 184
3 173 107
3 175 173
3 176 116
3 180 188
3 182 69
3 187 94
3 188 89
3 195 105
3 199 5
3 203 113
3 204 2
3 206 98
3 211 152
3 216 98
3 217 103
3 221 129
3 222 51
3 223 128
3 227 143
3 230 106
3 231 129
3 232 45
3 236 131
3 238 47
3 240 174
3 243 133
3 244 47
3 250 96
3 252 144
3 254 16
3 255 15
3 256 84
3 259 194
3 261 80
3 264 56
3 267 124
3 269 31
3 272 61
3 274 6
3 276 141
3 277 61
3 278 105
3 281 139
3 282 175
3 284 197
3 285 61
3 288 73
3 290 167
3 292 135
3 297 7
3 304 35
3 309 3
3 310 118
3 311 87
3 313 65
3 314 106
3 315 121
3 316 66
3 319 149
3 321 58
3 329 20
3 330 53
3 331 157
3 339 93
3 341 182
3 344 157
3 346 177
3 347 112
3 350 105
3 352 152
3 357 10
3 360 156
3 365 180
3 366 103
3 368 62
3 378 30
3 388 176
3 398 170
3 399 156
4 0 146
4 2 55
4 5 187
4 12 87
4 16 24
4 19 101
4 25 102
4 26 52
4 28 177
4 31 44
4 32 114
4 33 132
4 34 87
4 35 95
4 36 103
4 39 71
4 40 12
4 45 99
4 46 63
4 47 72
4 48 6
4 49 174
4 51 97
4 54 163
4 58 162
4 63 16
4 64 146
4 68 31
4 79 108
4 81 3
4 83 13
4 94 139
4 102 117
4 106 183
4 108 185
4 112 138
4 114 194
4 115 99
4 116 148
4 121 5
4 124 75
4 126 78
4 127 197
4 128 28
4 131 152
4 132 104
4 133 114
4 135 67
4 136 147
4 143 89
4 144 135
4 146 172
4 149 81
4 158 179
4 160 155
4 161 69
4 165 113
4 170 78
4 171 71
4 174 200
4 175 43
4 177 192
4 181 25
4 182 181
4 183 131
4 187 163
4 190 159
4 191 135
4 192 37
4 193 40
4 195 105
4 197 2
4 199 4
4 203 195
4 209 46
4 212 111
4 213 24
4 214 110
4 215 5
4 216 103
4 220 107
4 223 180
4 237 121
4 239 173
4 242 12
4 243 20
4 244 48
4 246 119
4 248 93
4 249 27
4 253 140
4 255 49
4 259 3
4 260 148
4 267 137
4 271 16
4 276 129
4 278 128
4 281 70
4 284 47
4 286 164
4 291 125
4 292 195
4 293 33
4 296 66
4 298 13
4 299 146
4 301 153
4 302 173
4 304 141
4 305 23
4 306 103
4 308 9
4 309 39
4 313 177
4 315 106
4 321 166
4 322 101
4 323 169
4 326 30
