600 45000
0 3 175
0 10 18
0 21 120
0 45 145
0 47 125
0 51 133
0 52 35
0 55 177
0 60 111
0 68 66
0 74 147
0 79 136
0 87 45
0 100 167
0 101 44
0 120 158
0 123 123
0 133 152
0 136 107
0 163 197
0 174 14
0 186 76
0 194 40
0 200 125
0 207 94
0 217 135
0 219 129
0 236 87
0 243 170
0 245 178
0 255 109
0 258 137
0 262 96
0 265 105
0 278 42
0 290 23
0 301 153
0 303 53
0 305 198
0 308 181
0 318 153
0 324 101
0 325 63
0 327 158
0 328 29
0 331 179
0 333 123
0 334 199
0 338 174
0 344 169
0 355 106
0 359 86
0 370 185
0 376 28
0 384 129
0 387 151
0 393 197
0 394 158
0 398 72
0 410 115
0 420 49
0 457 31
0 463 44
0 469 35
0 478 134
0 487 4
0 520 48
0 521 84
0 534 169
0 536 88
0 546 45
0 550 165
0 554 116
0 560 10
0 563 159
0 568 181
0 570 153
0 584 38
0 594 139
1 0 143
1 8 106
1 12 53
1 15 80
1 25 82
1 27 192
1 30 155
1 38 86
1 41 114
1 48 105
1 56 179
1 62 167
1 65 159
1 76 135
1 81 139
1 83 29
1 90 185
1 103 47
1 117 144
1 147 96
1 161 154
1 164 81
1 171 31
1 181 37
1 186 65
1 198 121
1 199 83
1 201 69
1 211 121
1 214 29
1 220 72
1 239 84
1 247 180
1 251 108
1 253 76
1 256 131
1 263 97
1 284 186
1 290 132
1 294 99
1 306 18
1 315 79
1 317 63
1 338 152
1 342 175
1 358 30
1 361 165
1 366 142
1 378 126
1 383 155
1 391 58
1 405 51
1 430 150
1 443 91
1 451 33
1 455 57
1 458 28
1 467 148
1 484 144
1 499 175
1 516 148
1 524 116
1 530 5
1 536 159
1 543 113
1 546 138
1 574 180
1 577 93
1 580 79
1 583 24
1 586 121
1 588 157
1 592 184
1 598 183
2 1 124
2 24 135
2 26 81
2 30 105
2 49 174
2 58 135
2 60 105
2 63 61
2 65 54
2 87 95
2 98 123
2 112 42
2 113 78
2 120 168
2 129 115
2 132 101
2 136 98
2 141 107
2 153 47
2 155 178
2 163 25
2 170 111
2 198 156
2 203 112
2 226 196
2 239 163
2 242 197
2 245 33
2 247 64
2 249 124
2 256 165
2 263 165
2 278 158
2 287 172
2 292 163
2 308 87
2 320 42
2 324 75
2 327 28
2 334 42
2 336 28
2 342 151
2 348 146
2 361 140
2 362 145
2 371 124
2 374 169
2 381 90
2 389 11
2 390 8
2 394 113
2 401 34
2 420 46
2 444 122
2 446 160
2 450 97
2 476 22
2 478 113
2 487 5
2 504 75
2 508 114
2 512 12
2 517 94
2 523 41
2 524 108
2 527 55
2 535 4
2 551 166
2 553 182
2 576 177
2 581 97
3 0 40
3 20 47
3 21 33
3 24 2
3 25 71
3 27 180
3 28 36
3 34 129
3 36 86
3 37 124
3 41 31
3 45 159
3 51 177
3 92 20
3 98 4
3 113 163
3 120 112
3 124 152
3 127 6
3 137 151
3 156 109
3 159 106
3 164 70
3 187 37
3 200 160
3 206 43
3 209 142
3 220 65
3 223 149
3 225 67
3 231 154
3 234 153
3 241 30
3 243 192
3 244 36
3 246 142
3 253 55
3 260 24
3 268 136
3 274 6
3 285 61
3 306 55
3 309 11
3 314 106
3 316 66
3 338 75
3 346 146
3 354 25
3 358 64
3 371 119
3 375 173
3 384 158
3 388 30
3 391 53
3 393 112
3 396 190
3 400 90
3 404 40
3 406 98
3 413 39
3 423 128
3 440 167
3 441 79
3 451 78
3 453 99
3 455 138
3 477 127
3 485 75
3 488 200
3 497 137
3 510 197
3 527 109
3 528 23
3 543 162
3 545 20
3 565 152
3 575 62
3 587 145
3 589 116
4 0 146
4 11 31
4 25 52
4 29 111
4 40 81
4 49 174
4 51 40
4 63 23
4 78 128
4 81 165
4 102 173
4 107 10
4 123 53
4 142 189
4 158 96
4 167 108
4 173 130
4 174 30
4 184 62
4 187 163
4 188 164
4 189 46
4 191 65
4 194 185
4 208 17
4 216 24
4 234 154
4 242 12
4 254 85
4 262 33
4 263 89
4 294 81
4 302 141
4 303 74
4 310 152
4 318 77
4 335 91
4 336 79
4 337 22
4 340 176
4 343 26
4 345 1
4 357 15
4 358 44
4 368 163
4 372 119
4 376 145
4 389 84
4 391 135
4 393 156
4 406 100
4 409 46
4 454 101
4 455 187
4 462 28
4 476 129
4 499 191
4 511 83
4 518 117
4 538 162
4 553 94
4 561 103
4 562 148
4 568 42
4 575 134
4 581 124
4 584 170
4 587 185
4 595 113
5 2 31
5 6 30
5 22 72
5 23 45
5 28 46
5 35 89
5 38 51
5 47 193
5 69 30
5 73 113
5 102 77
5 104 111
5 108 48
5 112 47
5 134 70
5 145 155
5 149 84
5 151 139
5 152 23
5 154 184
5 162 156
5 167 3
5 172 172
5 191 137
5 206 103
5 207 9
5 214 102
5 221 68
5 233 139
5 236 12
5 237 86
5 238 193
5 246 95
5 247 21
5 253 11
5 268 28
5 292 65
5 298 168
5 318 41
5 320 6
5 344 69
5 347 58
5 355 181
5 380 153
5 390 22
5 395 67
5 405 200
5 416 51
5 426 17
5 449 200
5 451 66
5 462 152
5 468 62
5 483 13
5 485 143
5 493 162
5 495 69
