200 10000
0 1 157
0 11 168
0 15 153
0 19 112
0 21 168
0 24 20
0 29 142
0 30 25
0 37 163
0 43 180
0 48 13
0 55 115
0 56 70
0 58 137
0 71 44
0 76 62
0 86 7
0 104 31
0 113 195
0 119 19
0 121 84
0 124 81
0 125 63
0 127 130
0 131 176
0 134 169
0 136 88
0 151 182
0 152 69
0 154 153
0 159 13
0 161 3
0 164 37
0 171 124
0 172 155
0 177 45
0 180 110
0 184 47
0 185 149
0 186 76
0 187 75
0 193 140
0 194 139
0 196 166
0 197 170
1 0 143
1 7 13
1 9 156
1 14 85
1 22 136
1 27 172
1 28 148
1 29 92
1 35 167
1 36 121
1 38 135
1 43 182
1 44 6
1 51 21
1 60 142
1 62 167
1 67 199
1 68 78
1 71 60
1 72 31
1 75 54
1 77 34
1 79 8
1 80 87
1 84 200
1 87 110
1 88 26
1 92 114
1 95 126
1 96 57
1 107 41
1 119 167
1 121 150
1 123 182
1 141 63
1 153 196
1 155 114
1 159 53
1 161 165
1 164 81
1 166 46
1 167 155
1 175 170
1 179 149
1 181 52
1 183 155
1 186 125
1 187 157
1 188 79
1 189 69
1 193 64
1 194 23
1 195 126
1 198 121
2 1 124
2 3 48
2 7 73
2 14 19
2 16 195
2 18 60
2 21 129
2 26 196
2 37 99
2 39 169
2 41 126
2 42 183
2 45 66
2 49 82
2 53 32
2 55 153
2 60 131
2 62 173
2 64 198
2 65 54
2 75 189
2 76 22
2 77 163
2 86 106
2 87 95
2 102 77
2 107 180
2 109 95
2 110 134
2 114 109
2 117 94
2 126 4
2 128 185
2 132 118
2 134 191
2 149 99
2 151 166
2 163 140
2 164 94
2 168 78
2 169 190
2 171 84
2 173 120
2 177 132
3 0 40
3 1 105
3 2 102
3 4 194
3 6 46
3 10 152
3 26 22
3 29 53
3 31 82
3 34 129
3 37 182
3 41 177
3 47 57
3 48 47
3 49 77
3 54 16
3 63 136
3 70 140
3 80 97
3 90 136
3 93 51
3 96 132
3 106 55
3 108 52
3 112 58
3 113 65
3 117 167
3 121 166
3 130 53
3 133 146
3 134 193
3 135 135
3 137 107
3 146 146
3 159 127
3 167 15
3 171 119
3 180 62
3 185 96
3 191 53
3 193 112
3 197 190
3 198 125
3 199 179
4 0 146
4 3 151
4 5 14
4 6 68
4 17 139
4 19 99
4 26 20
4 28 19
4 31 168
4 34 186
4 38 63
4 39 70
4 41 71
4 46 27
4 49 174
4 57 170
4 59 174
4 62 44
4 64 108
4 66 11
4 69 103
4 70 44
4 74 125
4 75 85
4 82 75
4 85 155
4 104 105
4 119 99
4 123 53
4 126 181
4 127 63
4 131 127
4 133 76
4 137 22
4 142 189
4 146 189
