1000 125000
0 6 52
0 10 111
0 14 152
0 17 95
0 27 190
0 28 86
0 46 86
0 63 79
0 69 143
0 75 76
0 83 74
0 99 35
0 105 122
0 119 91
0 123 123
0 129 153
0 139 145
0 153 45
0 172 15
0 173 6
0 196 141
0 201 32
0 202 26
0 205 86
0 208 25
0 209 185
0 213 125
0 219 197
0 239 190
0 250 124
0 254 194
0 260 161
0 263 166
0 265 98
0 272 180
0 277 43
0 278 134
0 285 85
0 286 99
0 288 98
0 291 161
0 293 89
0 296 43
0 328 10
0 331 56
0 339 96
0 342 143
0 345 62
0 355 106
0 357 13
0 368 93
0 393 183
0 394 158
0 405 43
0 414 105
0 441 111
0 442 153
0 443 180
0 473 123
0 475 57
0 477 129
0 493 133
0 513 53
0 516 11
0 527 67
0 531 157
0 543 5
0 549 163
0 552 69
0 570 114
0 574 180
0 580 68
0 586 109
0 591 28
0 598 83
0 609 117
0 614 85
0 620 91
0 622 93
0 631 136
0 636 13
0 641 15
0 647 163
0 657 126
0 672 113
0 679 170
0 681 134
0 696 166
0 697 153
0 699 87
0 703 34
0 708 159
0 717 77
0 743 74
0 752 126
0 756 184
0 760 132
0 761 3
0 762 151
0 767 149
0 790 87
0 791 147
0 792 57
0 794 169
0 801 145
0 804 37
0 814 199
0 831 74
0 838 169
0 840 56
0 861 5
0 870 184
0 879 11
0 880 77
0 887 45
0 901 115
0 908 56
0 913 45
0 915 149
0 916 176
0 926 77
0 934 199
0 935 58
0 937 26
0 947 138
0 951 81
0 954 116
0 962 3
0 968 112
0 992 15
0 993 197
1 0 143
1 2 184
1 23 183
1 35 42
1 37 96
1 41 114
1 45 14
1 48 103
1 61 118
1 67 199
1 68 135
1 72 78
1 76 135
1 78 144
1 85 134
1 88 150
1 92 75
1 96 183
1 98 98
1 104 71
1 107 88
1 114 30
1 115 53
1 129 15
1 143 72
1 150 193
1 151 124
1 154 2
1 156 23
1 160 93
1 166 167
1 174 169
1 177 157
1 183 155
1 191 23
1 222 136
1 226 18
1 229 125
1 231 148
1 241 90
1 254 27
1 261 169
1 284 170
1 285 74
1 299 138
1 317 165
1 318 76
1 320 199
1 339 15
1 344 155
1 351 5
1 352 51
1 363 194
1 370 140
1 392 184
1 421 150
1 425 40
1 427 172
1 428 52
1 434 173
1 445 4
1 447 4
1 472 197
1 490 156
1 495 20
1 497 198
1 499 1
1 501 175
1 502 178
1 504 182
1 516 33
1 522 23
1 524 116
1 538 152
1 539 110
1 541 109
1 556 170
1 564 5
1 573 68
1 580 79
1 605 172
1 607 11
1 618 171
1 633 116
1 634 174
1 659 98
1 660 117
1 684 189
1 685 197
1 692 49
1 693 40
1 695 75
1 700 133
1 702 141
1 709 104
1 717 189
1 736 127
1 752 18
1 756 131
1 760 86
1 776 154
1 786 73
1 787 76
1 796 78
1 809 71
1 819 157
1 820 153
1 833 45
1 846 133
1 860 190
1 876 139
1 878 195
1 879 143
1 880 193
1 887 171
1 895 5
1 896 19
1 899 164
1 905 49
1 910 24
1 919 25
1 923 139
1 924 36
1 925 6
1 926 199
1 939 136
1 941 101
1 958 25
1 971 191
1 976 47
1 983 24
1 990 110
1 995 84
2 1 124
2 31 74
2 37 117
2 46 2
2 53 189
2 67 142
2 71 96
2 86 106
2 87 95
2 98 105
2 100 168
2 126 4
2 138 77
2 161 140
2 162 60
2 166 102
2 184 14
2 199 93
2 206 129
2 209 175
2 213 121
2 214 162
2 221 175
2 223 12
2 224 135
2 227 157
2 236 124
2 241 128
2 242 91
2 244 181
2 265 120
2 268 73
2 270 140
2 274 145
2 280 145
2 288 163
2 292 61
2 296 3
2 301 172
2 310 59
2 311 197
2 312 18
2 317 115
2 327 43
2 329 146
2 338 74
2 351 82
2 352 165
2 358 168
2 378 37
2 385 18
2 392 98
2 395 75
2 396 75
2 398 168
2 400 119
2 404 84
2 406 18
2 408 37
2 422 47
2 431 54
2 439 169
2 453 29
2 467 6
2 489 32
2 490 76
2 502 199
2 505 191
2 509 74
2 513 29
2 535 4
2 554 59
2 556 72
2 573 16
2 576 181
2 578 31
2 579 181
2 600 155
2 621 191
2 654 60
2 667 7
2 691 144
2 708 103
2 712 12
2 714 141
2 718 50
2 729 141
2 774 108
2 776 23
2 783 100
2 784 187
2 787 119
2 801 90
2 806 27
2 822 34
2 839 194
2 842 197
2 847 164
2 850 110
2 854 113
2 858 123
2 862 173
2 869 93
2 870 57
2 879 55
2 887 55
2 889 88
2 890 132
2 894 95
2 895 89
2 910 134
2 918 89
2 923 11
2 929 67
2 940 118
2 946 58
2 951 47
2 953 57
2 970 158
2 971 124
2 974 133
2 988 47
3 0 40
3 4 2
3 10 148
3 17 135
3 19 138
3 22 39
3 23 101
3 46 41
3 50 31
3 62 150
3 63 51
3 67 19
3 70 102
3 78 182
3 79 132
3 86 151
3 93 5
3 108 85
3 125 28
3 128 118
3 133 129
3 146 146
3 157 155
3 166 124
3 168 191
3 173 83
3 199 13
3 200 178
3 204 144
3 206 92
3 211 45
3 226 138
3 231 123
3 249 78
3 250 96
3 253 31
3 264 126
3 273 55
3 285 61
3 290 25
3 294 116
3 299 189
3 304 2
3 313 163
3 315 116
3 324 95
3 325 74
3 344 167
3 351 98
3 356 196
3 373 160
3 382 183
3 393 171
3 401 62
3 415 68
3 441 30
3 445 48
3 451 78
3 455 15
3 460 91
3 463 40
3 465 136
3 472 139
3 480 120
3 484 57
3 486 118
3 490 41
3 494 180
3 500 110
3 512 50
3 517 142
3 531 189
3 546 189
3 550 132
3 553 197
3 554 25
3 557 100
3 563 146
3 567 8
3 583 152
3 592 175
3 618 51
3 620 47
3 633 9
3 636 131
3 640 144
3 643 80
3 647 146
3 660 183
3 677 13
3 684 5
3 690 112
3 692 30
3 697 179
3 700 148
3 704 123
3 719 89
3 720 84
3 721 164
3 728 88
3 729 125
3 736 64
3 737 62
3 750 105
3 756 92
3 758 64
3 759 183
3 770 20
3 772 91
3 773 189
3 778 102
3 781 131
3 782 178
3 783 130
3 784 140
3 798 24
3 808 81
3 832 197
3 833 9
3 846 25
3 852 150
3 854 197
3 885 156
3 887 39
3 888 197
3 903 67
3 913 65
3 922 197
3 924 43
3 928 102
3 934 51
3 943 7
3 944 82
3 947 72
3 980 181
3 983 181
4 0 146
4 31 31
4 37 192
4 38 141
4 41 30
4 43 105
4 50 146
4 53 62
4 55 18
4 60 168
4 67 66
4 79 83
4 92 176
4 102 135
4 115 134
4 118 94
4 120 153
4 131 103
4 136 147
4 142 141
4 149 62
4 176 169
4 181 193
4 184 111
4 190 12
4 193 184
4 196 92
4 209 132
4 213 136
4 219 76
4 234 86
4 235 3
4 238 147
4 247 72
4 249 145
4 259 101
4 260 139
4 269 136
4 289 62
4 292 195
4 337 151
4 340 92
4 356 131
4 370 77
4 373 130
4 379 57
4 386 128
4 400 191
4 420 20
4 424 158
4 435 95
4 441 137
4 443 20
4 454 180
4 471 14
4 488 69
4 506 96
4 508 185
4 509 125
4 510 92
4 527 65
4 532 113
4 547 13
4 558 183
4 563 116
4 573 145
4 583 25
4 586 24
4 588 57
4 592 196
4 596 40
4 612 133
4 619 126
4 621 115
4 633 175
4 634 188
4 641 169
4 644 13
4 649 19
4 656 9
4 669 173
4 679 60
4 682 71
4 697 61
4 700 89
4 704 53
4 725 68
4 744 85
4 766 17
4 792 151
4 795 128
4 799 197
4 801 110
4 802 94
4 815 27
4 831 167
4 837 109
4 844 179
4 870 184
4 875 177
4 878 58
4 894 80
4 917 64
4 942 182
4 968 110
4 970 43
4 972 153
4 984 84
4 990 159
4 994 186
4 997 185
5 2 31
5 3 166
5 10 179
5 27 69
5 32 30
5 44 110
5 45 159
5 65 178
5 72 132
5 74 137
5 83 176
5 87 32
5 104 113
5 105 134
5 107 120
5 109 74
5 123 175
5 129 166
5 148 128
5 149 71
5 155 38
5 158 91
5 162 156
5 171 130
5 174 63
5 175 2
5 180 72
5 192 71
5 200 20
5 213 23
5 219 115
5 228 131
5 249 2
5 250 128
5 273 113
5 274 166
5 277 78
5 281 17
5 286 38
5 293 60
5 294 23
5 298 21
5 346 58
5 348 114
5 349 93
5 361 51
5 375 44
5 380 23
5 385 192
5 391 169
5 400 36
5 401 80
5 403 88
5 405 162
5 408 87
5 413 78
5 421 128
5 429 7
5 447 186
5 448 134
5 451 178
5 470 88
5 477 86
5 479 149
5 484 196
5 491 112
5 495 23
5 505 25
5 507 115
5 512 54
5 536 167
5 541 2
5 548 25
