200 15000
0 1 157
0 7 46
0 9 161
0 11 168
0 12 188
0 15 153
0 16 186
0 19 112
0 21 168
0 24 20
0 26 175
0 29 142
0 30 25
0 31 159
0 32 165
0 34 113
0 37 163
0 43 180
0 44 70
0 47 67
0 48 13
0 52 29
0 55 115
0 56 70
0 58 137
0 60 111
0 61 5
0 71 44
0 76 62
0 77 114
0 78 134
0 86 7
0 87 4
0 90 88
0 93 89
0 95 175
0 104 31
0 106 96
0 107 143
0 110 13
0 113 195
0 119 19
0 121 84
0 124 81
0 125 63
0 127 130
0 128 29
0 129 39
0 131 176
0 134 169
0 136 88
0 141 17
0 148 131
0 151 182
0 152 69
0 154 153
0 159 13
0 161 3
0 164 37
0 167 1
0 171 124
0 172 155
0 176 53
0 177 45
0 180 110
0 184 47
0 185 149
0 186 76
0 187 75
0 191 147
0 193 140
0 194 139
0 195 145
0 196 166
0 197 170
1 0 143
1 6 160
1 7 13
1 9 156
1 14 85
1 18 155
1 22 136
1 25 81
1 27 172
1 28 148
1 29 92
1 33 194
1 35 167
1 36 121
1 38 135
1 42 48
1 43 182
1 44 6
1 51 21
1 60 142
1 62 167
1 67 199
1 68 78
1 71 60
1 72 31
1 75 54
1 77 34
1 79 8
1 80 87
1 84 200
1 85 162
1 86 8
1 87 110
1 88 26
1 89 17
1 91 37
1 92 114
1 93 30
1 95 126
1 96 57
1 107 41
1 108 120
1 115 112
1 117 144
1 118 188
1 119 167
1 121 150
1 123 182
1 130 64
1 134 137
1 138 181
1 141 63
1 144 81
1 145 74
1 150 179
1 153 196
1 155 114
1 159 53
1 161 165
1 164 81
1 166 46
1 167 155
1 170 24
1 175 170
1 179 149
1 181 52
1 183 155
1 186 125
1 187 157
1 188 79
1 189 69
1 193 64
1 194 23
1 195 126
1 197 181
1 198 121
2 1 124
2 3 48
2 7 73
2 14 19
2 16 195
2 18 60
2 21 129
2 26 196
2 30 12
2 37 99
2 39 169
2 41 126
2 42 183
2 44 157
2 45 66
2 49 82
2 51 148
2 53 32
2 55 153
2 60 131
2 62 173
2 64 198
2 65 54
2 69 29
2 73 22
2 75 189
2 76 22
2 77 163
2 86 106
2 87 95
2 91 91
2 94 26
2 98 105
2 101 136
2 102 77
2 104 150
2 107 180
2 109 95
2 110 134
2 112 11
2 114 109
2 117 94
2 122 94
2 126 4
2 127 28
2 128 185
2 130 85
2 132 118
2 134 191
2 136 28
2 139 18
2 140 158
2 148 189
2 149 99
2 151 166
2 152 128
2 153 12
2 163 140
2 164 94
2 168 78
2 169 190
2 170 63
2 171 84
2 173 120
2 175 62
2 177 132
3 0 40
3 1 105
3 2 102
3 3 178
3 4 194
3 6 46
3 8 103
3 9 91
3 10 152
3 18 121
3 23 78
3 26 22
3 27 143
3 29 53
3 31 82
3 34 129
3 35 163
3 36 131
3 37 182
3 41 177
3 44 55
3 47 57
3 48 47
3 49 77
3 54 16
3 55 169
3 57 99
3 59 143
3 60 106
3 63 136
3 65 199
3 67 143
3 70 140
3 76 87
3 79 132
3 80 97
3 86 44
3 87 178
3 90 136
3 91 12
3 93 51
3 94 137
3 95 41
3 96 132
3 106 55
3 108 52
3 109 11
3 112 58
3 113 65
3 116 66
3 117 167
3 121 166
3 127 153
3 130 53
3 131 189
3 133 146
3 134 193
3 135 135
3 137 107
3 139 174
3 143 148
3 145 140
3 146 146
3 156 94
3 159 127
3 163 17
3 166 188
3 167 15
3 168 62
3 169 119
3 171 119
3 176 146
3 180 62
3 185 96
3 191 53
3 193 112
3 197 190
3 198 125
3 199 179
4 0 146
4 2 94
4 3 151
4 4 61
4 5 14
4 6 68
4 14 15
4 15 169
4 17 139
4 19 99
4 22 180
4 26 20
4 28 19
4 31 168
4 33 27
4 34 186
4 38 63
4 39 70
4 41 71
4 46 27
4 49 174
4 52 48
4 54 101
4 55 187
4 57 170
4 59 174
4 62 44
4 64 108
4 66 11
4 68 49
4 69 103
4 70 44
4 74 125
4 75 85
4 82 75
4 85 155
4 92 195
4 94 74
4 102 173
4 104 105
4 112 145
4 114 192
4 118 18
4 119 99
4 123 53
4 125 177
4 126 181
4 127 63
4 129 173
4 131 127
4 133 76
4 136 21
4 137 22
4 140 22
4 141 172
4 142 189
4 146 189
4 153 31
4 154 39
4 156 11
4 158 44
4 160 155
4 161 117
4 163 43
4 167 108
4 175 68
4 177 72
4 178 112
4 183 160
4 187 185
4 188 127
4 191 122
4 194 185
4 195 77
4 196 189
4 197 2
4 198 15
4 199 182
5 0 20
5 2 31
5 8 165
5 13 101
5 14 80
5 16 10
5 25 156
5 26 13
5 27 130
5 28 44
5 33 139
5 38 193
5 40 130
5 42 116
5 45 83
5 46 95
5 48 87
5 51 66
5 54 40
5 57 104
5 60 71
5 67 75
5 68 62
5 72 118
5 74 90
5 76 161
5 80 90
5 83 13
5 85 143
5 88 106
5 92 170
5 95 116
5 96 65
5 98 168
5 100 115
5 105 103
5 109 74
5 110 9
5 112 47
