1000 250000
0 0 184
0 2 24
0 5 38
0 6 52
0 7 91
0 10 111
0 14 152
0 17 95
0 21 83
0 22 3
0 27 190
0 28 86
0 29 163
0 32 133
0 46 86
0 51 61
0 61 62
0 63 79
0 64 116
0 67 22
0 69 143
0 71 145
0 75 76
0 77 138
0 83 74
0 91 187
0 92 75
0 98 174
0 99 35
0 105 122
0 119 91
0 123 123
0 129 153
0 138 55
0 139 145
0 140 109
0 153 45
0 155 194
0 159 71
0 162 185
0 165 41
0 172 15
0 173 6
0 181 164
0 196 141
0 197 107
0 201 32
0 202 26
0 205 86
0 208 25
0 209 185
0 213 125
0 216 74
0 219 197
0 231 186
0 239 190
0 240 21
0 244 173
0 245 186
0 250 124
0 253 6
0 254 194
0 260 161
0 263 166
0 265 98
0 272 180
0 277 43
0 278 134
0 285 85
0 286 99
0 288 98
0 291 161
0 292 17
0 293 89
0 296 43
0 297 172
0 311 136
0 314 170
0 327 120
0 328 10
0 331 56
0 339 96
0 341 9
0 342 143
0 345 62
0 347 35
0 355 106
0 357 13
0 365 129
0 368 93
0 376 200
0 393 183
0 394 158
0 401 76
0 405 43
0 406 134
0 408 166
0 411 46
0 414 105
0 423 165
0 426 105
0 441 111
0 442 153
0 443 180
0 452 10
0 461 10
0 463 14
0 465 162
0 473 123
0 475 57
0 477 129
0 480 114
0 483 96
0 485 123
0 493 133
0 506 30
0 507 80
0 513 53
0 516 11
0 527 67
0 531 157
0 533 49
0 535 109
0 543 5
0 549 163
0 550 134
0 552 69
0 560 29
0 570 114
0 572 200
0 574 180
0 580 68
0 586 109
0 591 28
0 593 38
0 595 76
0 598 83
0 600 122
0 602 105
0 606 199
0 608 101
0 609 117
0 614 85
0 618 84
0 620 91
0 622 93
0 627 112
0 628 159
0 629 24
0 631 136
0 636 13
0 641 15
0 647 163
0 654 188
0 656 184
0 657 126
0 661 175
0 670 107
0 672 113
0 673 86
0 679 170
0 681 134
0 690 52
0 694 164
0 696 166
0 697 153
0 699 87
0 703 34
0 708 159
0 712 182
0 717 77
0 721 101
0 726 74
0 740 100
0 741 167
0 742 16
0 743 74
0 745 32
0 752 126
0 756 184
0 760 132
0 761 3
0 762 151
0 767 149
0 770 171
0 790 87
0 791 147
0 792 57
0 794 169
0 801 145
0 804 37
0 814 199
0 818 194
0 819 28
0 826 84
0 829 183
0 831 74
0 838 169
0 840 56
0 853 189
0 861 5
0 864 115
0 870 184
0 879 11
0 880 77
0 887 45
0 889 70
0 893 156
0 901 115
0 908 56
0 912 101
0 913 45
0 915 149
0 916 176
0 918 91
0 920 57
0 926 77
0 934 199
0 935 58
0 937 26
0 938 99
0 947 138
0 951 81
0 953 5
0 954 116
0 962 3
0 968 112
0 971 10
0 978 52
0 992 15
0 993 197
0 994 106
0 999 116
1 0 143
1 2 184
1 4 46
1 10 191
1 11 187
1 13 145
1 23 183
1 27 48
1 35 42
1 37 96
1 41 114
1 43 34
1 44 89
1 45 14
1 48 103
1 52 138
1 54 54
1 59 76
1 61 118
1 67 199
1 68 135
1 71 148
1 72 78
1 74 78
1 76 135
1 78 144
1 80 75
1 81 176
1 82 40
1 85 134
1 88 150
1 91 200
1 92 75
1 94 189
1 96 183
1 98 98
1 104 71
1 107 88
1 110 125
1 114 30
1 115 53
1 116 129
1 126 142
1 129 15
1 138 82
1 142 159
1 143 72
1 146 163
1 147 30
1 150 193
1 151 124
1 154 2
1 156 23
1 157 34
1 160 93
1 166 167
1 167 20
1 168 172
1 169 156
1 174 169
1 177 157
1 179 117
1 182 68
1 183 155
1 186 165
1 191 23
1 192 126
1 194 122
1 204 51
1 208 174
1 209 14
1 216 156
1 221 178
1 222 136
1 226 18
1 229 125
1 230 157
1 231 148
1 234 15
1 239 150
1 241 90
1 243 152
1 250 21
1 254 27
1 261 169
1 272 188
1 275 131
1 276 125
1 277 70
1 280 160
1 284 170
1 285 74
1 290 170
1 295 178
1 299 138
1 301 111
1 317 165
1 318 76
1 319 109
1 320 199
1 339 15
1 340 42
1 343 141
1 344 155
1 351 5
1 352 51
1 357 107
1 363 194
1 365 190
1 367 109
1 370 140
1 375 175
1 377 144
1 381 194
1 388 101
1 392 184
1 414 74
1 420 115
1 421 150
1 424 36
1 425 40
1 427 172
1 428 52
1 434 173
1 436 70
1 438 90
1 441 153
1 443 53
1 445 4
1 447 4
1 458 82
1 462 117
1 467 197
1 468 18
1 472 197
1 483 88
1 486 109
1 489 27
1 490 156
1 495 20
1 496 84
1 497 198
1 499 1
1 501 175
1 502 178
1 504 182
1 510 158
1 513 69
1 516 33
1 522 23
1 524 116
1 532 169
1 537 24
1 538 152
1 539 110
1 541 109
1 556 170
1 560 21
1 564 5
1 566 116
1 567 42
1 573 68
1 580 79
1 587 153
1 588 8
1 592 44
1 600 86
1 601 109
1 602 198
1 605 172
1 606 135
1 607 11
1 618 171
1 624 144
1 632 126
1 633 116
1 634 174
1 637 171
1 640 177
1 650 44
1 656 7
1 659 98
1 660 117
1 666 85
1 680 66
1 684 189
1 685 197
1 692 49
1 693 40
1 695 75
1 700 133
1 702 141
1 709 104
1 717 189
